iteration,model,hp,dim_method,do_scale,filter_ok,n_pca,other_cols,dataset_size,confusion_matrix,accuracy,precision,recall,f1,kappa,kappa_std,score,kappa_nonzero
82,RF,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 2, 'max_features': 'log2'}",pca,False,True,5,"['relationExtrusionWeight', 'drugConcentration']",61,"[[12, 5], [6, 6]]",0.6398046398046398,0.648148148148148,0.6579365079365079,0.6233946608946609,0.27267041901188244,0.170317714356085,0.10235270465579743,1
823,ET,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'max_features': 'log2'}",pca,False,True,10,['relationExtrusionWeight'],61,"[[15, 2], [9, 3]]",0.6389906389906389,0.6,0.5817460317460318,0.5569114980879687,0.18984998069965384,0.32846086027418786,-0.13861087957453402,1
872,RF,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 5, 'max_features': 0.5}",pca,False,True,15,['relationExtrusionWeight'],61,"[[14, 3], [8, 4]]",0.6389906389906389,0.5722222222222222,0.6317460317460317,0.5757667169431875,0.22565560729811932,0.3727995360423504,-0.14714392874423107,1
839,ET,"{'n_estimators': 300, 'max_depth': 30, 'min_samples_split': 2, 'max_features': 'sqrt'}",pca,False,True,5,[],66,"[[17, 4], [8, 3]]",0.6238095238095238,0.6316498316498316,0.5079365079365079,0.5180555555555556,0.10795087265675503,0.26347207405684353,-0.15552120140008852,1
49,RF,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 10, 'max_features': 'log2'}",pca,True,True,15,"['relationExtrusionWeight', 'drugConcentration']",61,"[[14, 3], [9, 3]]",0.6133496133496132,0.5353535353535354,0.6039682539682539,0.5368233618233618,0.16814531923227571,0.38578398709019757,-0.21763866785792185,1
202,RF,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'max_features': 0.5}",pca,False,True,20,['relationExtrusionWeight'],61,"[[11, 6], [8, 4]]",0.5400895400895401,0.48333333333333334,0.5507936507936508,0.48817016317016315,0.04964556771785692,0.2953322023254558,-0.2456866346075989,1
136,RF,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 2, 'max_features': 'sqrt'}",pca,False,True,20,['relationExtrusionWeight'],61,"[[12, 5], [8, 4]]",0.5877085877085877,0.5111111111111111,0.5841269841269842,0.5335405335405335,0.12768347184271756,0.40458306317266096,-0.2768995913299434,1
700,RF,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 10, 'max_features': 'log2'}",pca,True,True,20,"['relationExtrusionWeight', 'drugConcentration']",61,"[[11, 6], [8, 4]]",0.562067562067562,0.4880952380952381,0.5603174603174603,0.511029711029711,0.08044690653386304,0.4351075067596608,-0.35466060022579776,1
3,NN,"{'hidden_layer_sizes': (256,), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",pca,False,True,20,[],66,"[[20, 1], [9, 2]]",0.7154761904761905,0.464520202020202,0.5238095238095238,0.4705882352941176,,,,0
5,NN,"{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,False,True,N/A,[],66,"[[21, 0], [11, 0]]",0.6916666666666668,0.3458333333333334,0.5,0.40392156862745093,,,,0
