iteration,model,hp,dim_method,do_scale,n_pca,other_cols,dataset_size,confusion_matrix,accuracy,precision,recall,f1,kappa,kappa_std,score,kappa_nonzero
848,RF,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_split': 10, 'max_features': 'log2'}",,True,N/A,['drugConcentration'],616,"[[67, 37], [87, 105]]",0.5800832102675422,0.5700451906873774,0.5903190018834868,0.5392053629134698,0.1387391420933972,0.05214425969973671,0.08659488239366048,1
939,RF,"{'n_estimators': 500, 'max_depth': 30, 'min_samples_split': 5, 'max_features': 'log2'}",,False,N/A,['drugConcentration'],616,"[[67, 37], [87, 105]]",0.5800832102675422,0.5700451906873774,0.5903190018834868,0.5392053629134698,0.1387391420933972,0.05214425969973671,0.08659488239366048,1
982,ET,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_split': 2, 'max_features': 'sqrt'}",,True,N/A,['drugConcentration'],616,"[[59, 45], [76, 116]]",0.5870445824362874,0.58589601315657,0.6032325692606001,0.547765993683171,0.1631623459831892,0.08519752068486652,0.07796482529832269,1
155,RF,"{'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 10, 'max_features': 'log2'}",freq,False,N/A,[],616,"[[83, 21], [89, 103]]",0.6243261035887763,0.6421374857764806,0.6056133151065489,0.5253099530351508,0.17333187500525285,0.10924035998707175,0.0640915150181811,1
405,RF,"{'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 10, 'max_features': 0.5}",freq,True,N/A,[],616,"[[82, 22], [91, 101]]",0.6119157340355498,0.6254501426951548,0.5986629022220019,0.5193540248437953,0.16233058869312958,0.10233077628663381,0.05999981240649577,1
10,RF,"{'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 10, 'max_features': 'sqrt'}",freq,True,N/A,[],616,"[[80, 24], [87, 105]]",0.6216379315457656,0.6194685967282811,0.6042127548824593,0.5304605143932055,0.17009030436931602,0.11195103215130138,0.05813927221801464,1
110,RF,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'max_features': 'sqrt'}",freq,True,N/A,[],616,"[[80, 24], [87, 105]]",0.6216379315457656,0.6194685967282811,0.6042127548824593,0.5304605143932055,0.17009030436931602,0.11195103215130138,0.05813927221801464,1
617,SVM,"{'C': 0.1, 'kernel': 'rbf', 'gamma': 'scale'}",pca,True,20,[],616,"[[69, 35], [109, 83]]",0.4720863061876887,0.6097731626610937,0.6042319963577903,0.4621571950913322,0.18010129406328337,0.12411858627420608,0.055982707789077296,1
626,ET,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5, 'max_features': 'log2'}",pca,True,10,[],616,"[[73, 31], [99, 93]]",0.540208411176153,0.567306168776757,0.5681825647477402,0.49771897685094996,0.11784057114694742,0.06745011262469891,0.05039045852224851,1
442,RF,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'max_features': 0.5}",freq,True,N/A,[],616,"[[82, 22], [92, 100]]",0.6092275619925389,0.6190682459242419,0.5956867117458114,0.5141191868220721,0.15595161500321097,0.10729141534658733,0.048660199656623646,1
