iteration,model,hp,dim_method,do_scale,n_pca,other_cols,dataset_size,confusion_matrix,accuracy,precision,recall,f1,kappa,kappa_std,score,kappa_nonzero
629,RF,"{'n_estimators': 500, 'max_depth': 30, 'min_samples_split': 10, 'max_features': 'log2'}",freq,True,N/A,"['relationExtrusionWeight', 'drugConcentration']",518,"[[64, 23], [30, 401]]",0.8976848394324122,0.8216128880867057,0.8328969919964779,0.8227235574617158,0.6464455813708959,0.057383907521034866,0.5890616738498611,1
394,ET,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 5, 'max_features': 'log2'}",freq,True,N/A,"['relationExtrusionWeight', 'drugConcentration']",518,"[[62, 25], [30, 401]]",0.8938386855862586,0.8162502385912809,0.8217858808853666,0.814445685543858,0.6298680998194947,0.053277083026025615,0.576591016793469,1
598,SVM,"{'C': 100, 'kernel': 'poly', 'gamma': 'auto'}",pca,True,20,['relationExtrusionWeight'],518,"[[52, 35], [17, 414]]",0.899570575056012,0.8387382530079159,0.7789654648280054,0.8037677379118057,0.6084792462740354,0.05580365611260687,0.5526755901614285,1
330,ET,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'max_features': 0.5}",freq,True,N/A,"['relationExtrusionWeight', 'drugConcentration']",518,"[[60, 27], [29, 402]]",0.8918782673637043,0.8118832238898749,0.81117060029037,0.8079679761582594,0.6167250258703632,0.07391793931596477,0.5428070865543984,1
434,NN,"{'hidden_layer_sizes': (128, 128), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",pca,True,20,"['relationExtrusionWeight', 'drugConcentration']",518,"[[51, 36], [23, 408]]",0.8860716952949964,0.8070745431039548,0.7667599624720245,0.7832705774539315,0.56735475505295,0.051618588179510254,0.5157361668734397,1
69,NN,"{'hidden_layer_sizes': (128, 128), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",pca,False,20,[],616,"[[52, 35], [30, 499]]",0.8945056386047732,0.7951141430923011,0.7703280305833026,0.7755061687150293,0.5525026700890509,0.055945414872155215,0.49655725521689564,1
262,NN,"{'hidden_layer_sizes': (256, 256), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",pca,True,20,[],616,"[[53, 34], [30, 499]]",0.8961447678992919,0.7971785389017335,0.7758835861388581,0.7795560443080025,0.5605099592360668,0.06689091159224456,0.49361904764382225,1
61,SVM,"{'C': 1, 'kernel': 'linear', 'gamma': 'auto'}",pca,True,15,"['relationExtrusionWeight', 'drugConcentration']",518,"[[48, 39], [25, 406]]",0.8764563106796117,0.7873608664571469,0.7471542158697213,0.7637263828390631,0.5283146812008812,0.03958365991520013,0.4887310212856811,1
796,NN,"{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",pca,False,20,[],616,"[[50, 37], [28, 501]]",0.8945056386047732,0.8022145343974444,0.7604501171537799,0.7691669428559734,0.5406849837821814,0.05350413794378344,0.487180845838398,1
486,SVM,"{'C': 100, 'kernel': 'rbf', 'gamma': 'scale'}",pca,False,20,[],616,"[[53, 34], [30, 499]]",0.8961316548649357,0.7968271579884166,0.7755567887532372,0.7776241519511059,0.55718894706006,0.07660559475105386,0.48058335230900606,1
